"id";"name";"description"
"1";"Android";""
"2";"iOS";""
"4";"Mac OS X";""
"5";"Nintendo DS";""
"6";"Nintendo Wii";""
"7";"PlayStation 5";""
"8";"PlayStation 1";""
"9";"PlayStation 2";""
"10";"PlayStation 3";""
"11";"PlayStation 4";""
"12";"PlayStation Vita";""
"13";"PlayStation Portable";""
"14";"Windows PC";""
"15";"Linux";""
"16";"Xbox 360";""
"17";"Xbox One";""
"18";"Xbox Series X";""
"20";"Браузер";""
"21";"Windows Phone";""
"22";"Nintendo Wii U";""
"23";"Xbox";""
"24";"Sega Mega Drive";""
"26";"Nintendo GameCube";""
"29";"Sega Dreamcast";""
"30";"Super Nintendo Entertainment System";""
"31";"Nintendo Game Boy";""
"32";"Nintendo 64";""
"33";"Nintendo Entertainment System";""
"34";"Nintendo 3DS";""
"35";"Sega Saturn";""
"36";"Neo Geo CD";""
"37";"Neo Geo";""
"38";"Nintendo Switch";""
"39";"PlayStation VR";""
"40";"Atari Jaguar";""
"41";"Sega CD";""
